불용어 제거 리뷰,키워드,제품명,피부타입,기능
가볍찐템 얘 괜찮다ㅋㅋ 내가 비타민앰플 여러개 써봤지만 얘는 추천라인업에 껴도 될 수준이야ㅇㅇ 제형자체가 굉장히 가벼워 끈적거림도 딱히 없어서 지성피부가 바르기 좋은느낌이였어ㅋㅋ 바르고나면 손에서 비타민앰플 특유의 냄새가 나는데 이것도 손씻고하다보면 나는 거슬리진않더라구ㅇㅇ 바르고자면 베개에 묻는다는 말도 있던데 나는 베개에 수건깔고 잠 뒤척거림이 심하지않은 편이여서 그런지 딱히 눈에 띄는 묻어남은 없었어 다만 내가 쓰는 제품이 불량인건지 스포이드가 조절이 잘 안되더라구 스포이드로 눌러야 앰플이 나와야하는데 안눌러도 맺혀있던 앰플이 나온다고해야하나ㅠ 신경쓰이지는않았지만 스포이드를 꺼내고나서 얼굴에 발라줘야한다는게 거슬리는 정도 였어ㅋㅋ 효과도 굿 나는 피부뒤집어지고나서 진정관리 이후에 흔적관리용으로 사용해줬는데 점점 피부가 맑아지면서 톤이 균일해지는게 보여서 만족했어ㅇㅇ 가격은 20는 올영기준 정가 23000원이고 오특하면 30할인해서 16100원까지 떨어져 더블기획은 올영기준 정가 46000원이고 올영라이브때 26500원까지 떨어지더라구ㅇㅇ 더블기획은 할인율이 10정도 더 높아서 나처럼 찐템이다싶으면 더블기획으로 구매하는걸 더 추천할께 솔직하게 작성했는데 다들 유용한 리뷰였으면 좋겠다 도움이 돼요 눌러주면 다음에도 솔직한 리뷰로 돌아올께 오늘도 내 리뷰 읽어줘서 고마워 나는 특히나 기초제품은 최대한 오랫동안 사용하고 리뷰를 남기는편이거든 아무래도 꾸준히사용해야 내 리뷰 봐주는 사람들한테 더 도움될 수 있으니까 얘는 내가 8월말에 구매해서 11월초까지 사용했을 더 길게 사용해보고 싶었는데 리뷰마감기한이 11월이더라구ㅠ 괜찮다고 느꼈던템이라서 추천하고싶더라구 다들 내 리뷰볼 참고했으면하는 맘에 덧붙여봐,"가볍찐템, 괜찮다ㅋㅋ",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
안녕하세요 리뷰 할 제품은 코스알엑스 더 비타민23세럼입니다 제가 이야기 할 내용들은 크게 사용 방법 언제 사용하면 좋을지 트러블 민감 피부에 사용해도 되는지 보관 방법 시너지 효과 사용시 주의할점 사용후기 아쉬운점좋은점 등에 이야기를 해보려고 해요 하나씩 이야기 해볼게요 내용들은 제가 실제로 궁금해했던 내용들이에요 공감할 수 있는 부분들로 리뷰를 작성해보려고 합니다 사용방법 사용하시기전에 꼭 흔들어서 사용해주세요 저는 34번 흔들어서 사용해주고 있어요 언제 사용하면 좋을지 먼저 아침 저녁 모두다 사용해도 돼요 아침에 사용할때에는 꼭 선크림을 발라야해요 발랐을때 끈적거린다는 느낌이 든다면 크림을 위에 덧발라 주세요 끈적거리는 느낌이 없더라도 좋은 마무리감과 수분충전을 마무리를 크림으로 끝내시는 게 좋아요 저는 크림까지 바르고 거기 위에다가 겔팩까지 해줍니당 트러블민감 피부에 사용해도 되는지 사용해도 돼요 피부를 올릴건데요 저는 제품 사용할때 피부가 안 좋은 상태임에도 사용해요 제품 상세페이지를 보면 저자극 피부 자극 테스트까지 완료를 했다고 합니다 가족들도 이거 매일 사용하고 있는데 가끔 따끔거린다고 해요 저도 가끔 따끔거림을 느껴요 느낌은 10초정도가고 뭔가 다음날에 피부가 뒤집힐거 같은 느낌인데 막상 다음날 돼서 보면 피부는 그대로 더라구용 저처럼 따끔거림이 있을 수도 있는데 당황하지 마시구 다음날까지 기다려보시는걸 추천드려용 보관방법 보관은 무조건 냉장고 입니당 저는 겨울에도 냉장보관을 해요 사용 전 미리 쟁여놓은 제품도 다 냉장고에 보관합니당 시너지 효과 코스알엑스 더 펩타이드 세럼을 먼저 바르고 제품 발라보세요 그리구 마무리로는 크림으로 해보세용 사용시 주의할점 사용할때 저처럼 흰색이불에 묻는다고 하시더라구용 흰색만 묻냐구용 아니요 초록색 옷 노란색 베게 다 똥색처럼 묻어요 세탁하면 잘 지워진다고 합니당 사용후기 주름을 잘 없애줘요 엄마는 제품쓰고 나서 진한 쌍커풀이 점점 없어진다고 지금은 눈가에 사용 안하고 있어요 정도로 주름을 잘 없애줍니다 잡티 피부 컨디션에도 좋아요 아쉬운점 좋은점 아쉬운점으로는 가끔 따끔거림과 찐득함 묻는거이구용 크게 신경이 안쓰여요 도움이 되셨다면 도움이 돼요를 눌러주세요 오늘도 좋은 하루 보내세요,"안녕하세요, 리뷰",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
5번째 재구매중 얼굴이 노래지냐하시던데 일시적이더라구요 씻으면 돌아와요그냥 놔두시고 바르고 베개는 수건까는걸 추천 전 자요 노래지지가 않아서 아직도 구매를 망설이는 분께 솔직리뷰주의 여드름 붉은자국색소침착에 도움되고자 계속재구매 비타민100가루로 된 것도 있으나 앰플이 편해서 이걸로 구매했어요 격일로 레티놀 크림과 번갈아쓰고 아침에 비타민 밤엔 레티놀 루틴 피부 민감한 날엔 건너뛰고 용법이 워낙 까다롭고 피해야할 성분도 있어서 개인적으로 매일매일 쓰기엔 살짝 무리가 있음 낮에 바르는 걸 추천드려요 선크림 필수 사계절내내 선크림은 필수자작나무 수분선크림 우선 저는 피부 컨디션 괜찮은 날에 발랐을 땐 얼굴이 따갑지 않았습니다 민감할 바르면 자극적임 피부에 너무나 익숙해져서 여러번 레이어링도 해주고 흡수시키고 팁 세안 후에 제품 바르고 흡수시키고 세럼 크림 바르는걸 추천해요 피부가 더 환해지는 속도가 빠를거에요 민감성피부는 붉은 흔적이 심한 부위에만 바르고 바르는 면적을 조금씩 넓혀가세요 제형은 일반 물토너만큼 묽어서 주륵 흘러서 박카스같은 노란색이에요 비타민세럼 충분한 보습 토너 바르고 비타민 바르셔도 됩니다 비타민 전에 토너를 바르는 이유는 토너가 쿠션역할을 해줘서 비타민 흡수가 더 잘된다고 합니다 지금은 비타민부터 흡수 시켜요 대신다른 세럼은 비타민 이후에 바르기 조금씩이나마 효과를 느끼고 있기 꾸준히 쓰는중 피부가 심하게 민감하신 분들 여드름흔적 고민이신 분들에게 진심으로 추천해요 단점 굳이 곱자면 세일 안할 땐 가격이 부담스럽다는 거 세일인 쟁여요 원쁠원 비타민 용법 주의사항ㅇ 많이 민감하다면 냉장고 보관 최대한 서늘하고 어두운 곳에 보관할 민감피부는 찬 온도에 더 민감해져서 얼굴 붉어지고 자극감 느끼기 쉬움 1세안후 최대한 앞단계에서 바를 민감피부는 찬 온도에 더 민감해져서 얼굴 붉어지고 자극감 느끼기 쉬움 2세안후 최대한 앞단계에서 바를 이것저것 바르고 비타민 바르면 흡수도 더딜 뿐더러 효과가 미미함 기능성 제품들은 얼굴을 건조해서 보습에 더 신경쓸 레티놀과 사용하지 말 각질제거 후 사용하지 말 피부 민감한 날엔 되도록 피할 민감한 날엔 진정루틴으로 빛에 민감한 성분이니 아침엔 선크림,"5번째, 재구매중",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
열심히 잘 쓰고 있습니다 바르고 나면 얼굴이 쫀쫀 해져요 환해진 것은 별로 모르겠긴 한데ㅠㅜ 그리거 다음날 세수 얼굴에 베이스 바르면 때처럼 밀려나오는 현상이 있습니다 저는 건성이라 아침에 얼굴 물세수만 하는데 한동안 때처럼 나와서 ㅜㅜㅋㅋㅋ,"열심히, 쓰고",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
코스알엑스가 세럼이나 앰플 제품 가성비 좋게 만드는걸로 유명한데 비타민세럼도 거기에 걸맞아요 워터리한 제형이지만 향은 비타민세럼 답게 좋은 향이 아니고 이건 플러스 요인입니다 이상한 향료를 잔뜩 넣지 않았다는 것이니까요 도포했을 워터리하다고 느끼실 수 있지만 흡수되고나서 끈적입니다 비타민세럼은 나이트케어용으로 사용하시는게 좋고요 냉장보관 추천드립니다 화장하실 사용하시는건 추천드리지 않습니다 끈적이기 밀릴 수도 있고 비타민제품들은 도포 후 선케어를 타이트하게 해줘야하거든요 가성비 비타민세럼 찾는 분들께 추천드립니다,"코스알엑스가, 세럼이나",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
본격적으로 미백케어 해주기 구매했어요 기획 구성이 좋더라구요 뚜껑 열기 전에 흔드는게 아니라 스포이드로 교체하고 나서 흔들어주는건데 모르고 뚜껑열기 전에 흔들어버렸어요ㅋㅋ 다행히 넘치거나 하지 않았습니다 물처럼 주르륵 흘러내리는 제형이구요 오일도 들어가있어서 흡수시킬때 오일 특유의 제형감이 느껴져요 오일층 때문인지 어느정도 보습력은 있습니다 비타민 특유의 끈적임이 상당한 편이에요 고기능성 제품들은 제형 잡기가 어려운걸 알고 있어서 상관없었지만 끈적이는거 싫어하시는 분들은 쳐다도 보면 안됩니다 흡수시켜주고 위에 기초 제품 발라주면 끈적임이 덜하긴 꾸준히 사용하면서 미백 잡티 개선 효과 보길 기대해보겠습니다,"본격적으로, 미백케어",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
욕세럼이라고 불릴만큼 따갑지만 저는 그게 피부에 더 효과가 있지 않을까 라는생으로 사용중이에요 절대 햇빛에서 사용하지마시고 냉장 보관해주세용,"욕세럼이라고, 불릴만큼",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
저번에 한통 비우고 재구매한 제품이에요 미백에 확실히 도움 본 제품입니다ㅜ,"저번에, 한통",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
자극없이 쓰기 좋은 비타민 앰플인거 같습니당 같이온 파우치는 별로였어요,"자극없이, 쓰기",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
더운 여름에는 꼬리한 냄새때문에 못바르다가 가을들어서 바르기 시작했는데 확실히 자극이 따끔하게 느껴지긴 합니다 며칠 지나면 자극이 사라지긴 합니다 전 미백보다는 항산화기능에 집중해서 사용하고 있습니다 전 낮에 바르고 자외선차단제를 꼭 발라줍니다 제품 사용하면 건조해서 꼭 수분크림을 발라줘야합니다,"더운, 여름에는",코스알엑스 더 비타민C 23 세럼,복합성,"주름개선, 미백"
